🚌 	1F68C	Bus
🚐 	1F690	Minibus
🚑 	1F691	Ambulance
🚒 	1F692	Fire Engine 
🚓 	1F693	Police Car
🚕 	1F695	Taxi
🚙 	1F699	Sport Utility Vehicle 
🚚 	1F69A	Delivery Truck 
🚜 	1F69C	Tractor
🏎️ 	1F3CE	Racing Car	
🏍️ 	1F3CD️	Motorcycle	
🛺 	1F6FA	Auto Rickshaw	
🚲	1F6B2	 Bicycle	
🚏 	1F68F	Bus Stop	
🛣️ 	1F6E3	Motorway	
🛤️ 	1F6E4	Railway Track	
🚦 	1F6A6	Traffic Light	
🚧 	1F6A7	Construction	
😀 	1F600 	Happy	
😃 	1F603 	Smiling With Big Eyes	
😄	1F604	Big Grin	
😁 	1F601 	Cheerful	
😆	1F606	Grinning With Eyes Closed	
😅 	1F605 	Sweaty Laugh	
🤣	1F923	Rolling on the Floor Laughing	
😂 	1F602 	Laughing With Tears	
🙂 	1F642 	Content Face	
🙃	1F643	Smiling Upside-Down	
😉	1F609	Winkey-Wink	
😇	1F607	Angel	
🥰	1F970	Smiling in Love	
😍	1F60D	Heart Eyes	
🤩	1F929	Starry Eyes	
😘	1F618	Blow a Kiss	
😗	1F617	Kissing Face
😚	1F61A	Kiss of Love	
😙	1F619	Kissing With Smiling Eyes	
😋	1F60B	Savoring Delicious Food	
😛	1F61B	Teasing	
😜	1F61C	Loony	
🤪	1F92A	Crazy 	
😝	1F61D	Tongue-Out Laugh	
🤑	1F911	Money	
🤭	1F92D	Hand Over Mouth	
🤫	1F92B	Shushing Face	
🤔	1F914	Intrigued	
🤐	1F910	Zip It	
🤨	1F928	Suspicious	
😐	1F610	poker Face	
😑	1F611	Loathing	
😶	1F636	Awkwardness	
😏	1F60F	Smirk	
😒	1F612	Unimpressed	
🙄	1F644	Rolling Eyes	
😬	1F62C	Curios	
🤥	1F925	Lair	
😌	1F60C	Bliss	
😔	1F614	Sad	
😪	1F62A	Drowsiness	
🤤	1F924	Drooling	
😴	1F634	Peacefully Sleeping	
😷	1F637	Sick	
🤒	1F912	Feverish	
🤕	1F915	Injured	
🤢	1F922	Nauseated	
🤮	1F92E	Vomiting	
🤧	1F927	Sneezing	
🥵	1F975	Boiling Face	
🥶	1F976	Chilly Face	
🥴	1F974	Woozy Face	
🤯	1F92F	Exploding Head	
🥳	1F973	Partying	
🚶 	1F6B6 	Walking	
🧍	1F9CD	Standing	
🏃 	1F3C3 	Running	
🍰 	1F370 	pastry	
🎈 	1F388 	Balloon	
🎉 	1F389	Party Popper	
🎁 	1F381	Wrapped Gift	
🕯️	1F56F	Candle	
🥞 	1F95E	Pancakes	
🧇	1F9C7	Waffle	
🧀	1F9C0	Cheese Wedge	
🍖 	1F356	Meat on Bone	
🍗 	1F357	Poultry Leg	
🥩	1F969	Cut of Meat	
🥓 	1F953	Bacon	
🍔	1F354	Hamburger	
🍟	1F35F	French Fries	
🍕	1F355	Pizza	
🌭	1F32D	Hot Dog	
🥪	1F96A	Sandwich	
🌮 	1F32E	Taco	
🌯 	1F32F	Burrito	
🧊	1F9CA	Ice	
🍨	1F368	Ice Cream	
🍩 	1F369	Doughnut	
🍪	1F36A	Cookie	
🎂 	1F382	Birthday Cake	
🍰 	1F370	Shortcake	
🧁 	1F9C1	Cupcake	
🥧	1F967	Pie	
🍫 	1F36B	Chocolate Bar	
🍬 	1F36C	Candy	
🍭	1F36D	Lollipop	
🍮 	1F36E	Custard	
🛑 	1F6D1	Stop Sign		
🚸 	1F6B8	Children Crossing		
🚫	1F6AB	Prohibited	
🚳 	1F6B3	No Bicycles	
🚭 	1F6AD	No Smoking	
🚯 	1F6AF	No Littering	
🚱 	1F6B1	Non-Potable Water	
🚷	1F6B7	No Pedestrians	
📵 	1F4F5	No Mobile Phones	
🔞 	1F51E	No One Under Eighteen
