🚌 	1F68C	Autobus
🚐 	1F690	Minibus
🚑 	1F691	Ambulanza
🚒 	1F692	Autopompa
🚓 	1F693	Auto della polizia
🚕 	1F695	Taxi
🚙 	1F699	Veicolo utilitario sportivo
🚚 	1F69A	Camion delle consegne
🚜 	1F69C	Trattore
🏎️ 	1F3CE	Macchina da corsa
🏍️ 	1F3CD️	Motociclo
🛺 	1F6FA	Risciò automatico
🚲	1F6B2	Bicicletta
🚏 	1F68F	Fermata dell'autobus
🛣️ 	1F6E3	Autostrada
🛤️ 	1F6E4	Linea ferroviaria
⛽ 	26FD	Pompa di benzina
🚦 	1F6A6	Semaforo
🚧 	1F6A7	Costruzione
😀 	1F600 	Contento
😃 	1F603 	Sorridere Con I Grandi Occhi
😄	1F604	Grande sorriso
😁 	1F601 	Allegro
😆	1F606	Sorridendo con gli occhi chiusi
😅 	1F605 	Risata sudata
🤣	1F923	Rotolare a terra ridendo
😂 	1F602 	Ridere con le lacrime
🙂 	1F642 	Volto contenuto
🙃	1F643	Sorridere a testa in giù
😉	1F609	Winkey-Wink
😇	1F607	Angelo
🥰	1F970	Sorridere innamorato
😍	1F60D	Occhi del cuore
🤩	1F929	Occhi stellati
😘	1F618	Manda un bacio
😗	1F617	Baciare la faccia
☺️	263a	Arrossire
😚	1F61A	Bacio d'Amore
😙	1F619	Baciare con occhi sorridenti
😋	1F60B	Assaporando cibo delizioso
😛	1F61B	Stuzzicando
😜	1F61C	Matto
🤪	1F92A	Pazzo
😝	1F61D	Risata a bocca aperta
🤑	1F911	I soldi
🤭	1F92D	Consegnare la bocca
🤫	1F92B	Faccia zitta
🤔	1F914	Incuriosito
🤐	1F910	Ziplo
🤨	1F928	Sospettoso
😐	1F610	faccia da poker
😑	1F611	Disprezzo
😶	1F636	Imbarazzo
😏	1F60F	Sorriso
😒	1F612	Indifferente
🙄	1F644	Occhi Alzati
😬	1F62C	Curiosità
🤥	1F925	Tana
😌	1F60C	beatitudine
😔	1F614	Triste
😪	1F62A	Sonnolenza
🤤	1F924	Sbavando
😴	1F634	Dormire pacificamente
😷	1F637	Malato
🤒	1F912	Febbrile
🤕	1F915	Ferito
🤢	1F922	Nauseato
🤮	1F92E	Vomito
🤧	1F927	Starnuti
🥵	1F975	Viso bollente
🥶	1F976	Viso freddo
🥴	1F974	Viso stordito
🤯	1F92F	Testa esplosiva
🥳	1F973	Festeggiare
🚶 	1F6B6 	A passeggio
🧍	1F9CD	In piedi
🏃 	1F3C3 	In esecuzione
🍰 	1F370 	Pasticcino
🎈 	1F388 	Palloncino
🎉 	1F389	Guastafeste
🎁 	1F381	Regalo incartato
🕯️	1F56F	Candela
🥞 	1F95E	Pancakes
🧇	1F9C7	Cialda
🧀	1F9C0	Cuneo Di Formaggio
🍖 	1F356	Carne con osso
🍗 	1F357	Coscia di pollame
🥩	1F969	Tagliata Di Carne
🥓 	1F953	Bacon
🍔	1F354	Hamburger
🍟	1F35F	Patatine fritte
🍕	1F355	Pizza
🌭	1F32D	Hot dog
🥪	1F96A	Sandwich
🌮 	1F32E	Taco
🌯 	1F32F	Burrito
🧊	1F9CA	Ghiaccio
🍨	1F368	Gelato
🍩 	1F369	Ciambella
🍪	1F36A	Biscotto
🎂 	1F382	Torta di compleanno
🍰 	1F370	Dolcetto
🧁 	1F9C1	Cupcake
🥧	1F967	Torta
🍫 	1F36B	Barretta di cioccolato
🍬 	1F36C	Caramella
🍭	1F36D	Lecca-lecca
🍮 	1F36E	Crema pasticciera
🛑 	1F6D1	Segnale di stop
⚠️ 	26A0	Avvertimento
🚸 	1F6B8	Bambini che attraversano
⛔ 	26D4	Vietato l'accesso
🚫	1F6AB	Proibito
🚳 	1F6B3	No biciclette
🚭 	1F6AD	Vietato fumare
🚯 	1F6AF	Nessun littering
🚱 	1F6B1	Acqua non potabile
🚷	1F6B7	Vietato ai pedoni
📵 	1F4F5	Niente telefoni cellulari
🔞 	1F51E	Nessuno sotto i diciotto anni
