🚌 	1F68C	Bus
🚐 	1F690	Kleinbus
🚑 	1F691	Ambulanz
🚒 	1F692	Feuerwehrauto
🚓 	1F693	Polizeiauto
🚕 	1F695	Taxi
🚙 	1F699	Sport Utility Vehicle
🚚 	1F69A	Lieferwagen
🚜 	1F69C	Traktor
🏎️ 	1F3CE	Rennauto
🏍️ 	1F3CD️	Motorrad
🛺 	1F6FA	Auto-Rikscha
🚲	1F6B2	Fahrrad
🚏 	1F68F	Bushaltestelle
🛣️ 	1F6E3	Autobahn
🛤️ 	1F6E4	Bahnstrecke
🚦 	1F6A6	Ampel
🚧 	1F6A7	Konstruktion
😀 	1F600 	Glücklich
😃 	1F603 	Mit großen Augen lächeln
😄	1F604	Breites Grinsen
😁 	1F601 	Heiter
😆	1F606	Mit geschlossenen Augen grinsen
😅 	1F605 	Verschwitztes Lachen
🤣	1F923	Auf dem Boden rollen und lachen
😂 	1F602 	Mit Tränen lachen
🙂 	1F642 	Zufriedenes Gesicht
🙃	1F643	Kopfüber lächelnd
😉	1F609	Winkey-Wink
😇	1F607	Winkel
🥰	1F970	Verliebt lächeln
😍	1F60D	Herz Augen
🤩	1F929	Sternenklare Augen
😘	1F618	Schlag einen Kuss
😗	1F617	Gesicht küssen
😚	1F61A	Kuss der Liebe
😙	1F619	Küssen mit lächelnden Augen
😋	1F60B	Leckeres Essen genießen
😛	1F61B	Neckisch
😜	1F61C	Verrückt
🤪	1F92A	Verrückt
😝	1F61D	Lachen mit herausgestreckter Zunge
🤑	1F911	Geld
🤭	1F92D	Hand über den Mund
🤫	1F92B	Schweigendes Gesicht
🤔	1F914	Fasziniert
🤐	1F910	Klappe
🤨	1F928	Verdächtig
😐	1F610	Pokerface
😑	1F611	Abscheu
😶	1F636	Ungeschicklichkeit
😏	1F60F	Grinsen
😒	1F612	Unbeeindruckt
🙄	1F644	Augen rollen
😬	1F62C	Kuriositäten
🤥	1F925	Höhle
😌	1F60C	Wonne
😔	1F614	Traurig
😪	1F62A	Schläfrigkeit
🤤	1F924	Sabbern
😴	1F634	Friedlich schlafen
😷	1F637	Krank
🤒	1F912	Fieber
🤕	1F915	Verletzt
🤢	1F922	Übelkeit
🤮	1F92E	Erbrechen
🤧	1F927	Niesen
🥵	1F975	Kochendes Gesicht
🥶	1F976	Kühles Gesicht
🥴	1F974	Benommenes Gesicht
🤯	1F92F	Explodierender Kopf
🥳	1F973	Party machen
🚶 	1F6B6 	Gehen
🧍	1F9CD	Stehen
🏃 	1F3C3 	Betrieb
🍰 	1F370 	Gebäck
🎈 	1F388 	Ballon
🎉 	1F389	Party-Popper
🎁 	1F381	Verpacktes Geschenk
🕯️	1F56F	Kerze
🥞 	1F95E	Pfannkuchen
🧇	1F9C7	Waffel
🧀	1F9C0	Käse Keil
🍖 	1F356	Fleisch auf Knochen
🍗 	1F357	Geflügelkeule
🥩	1F969	Fleischstück
🥓 	1F953	Speck
🍔	1F354	Hamburger
🍟	1F35F	Pommes frittes
🍕	1F355	Pizza
🌭	1F32D	Hotdog
🥪	1F96A	Sandwich
🌮 	1F32E	Taco
🌯 	1F32F	Burrito
🧊	1F9CA	Eis
🍨	1F368	Eis
🍩 	1F369	Krapfen
🍪	1F36A	Plätzchen
🎂 	1F382	Geburtstagskuchen
🍰 	1F370	Shortcake
🧁 	1F9C1	Cupcake
🥧	1F967	Kuchen
🍫 	1F36B	Tafel Schokolade
🍬 	1F36C	Süssigkeit
🍭	1F36D	Lutscher
🍮 	1F36E	Pudding
🛑 	1F6D1	Stoppschild
🚸 	1F6B8	Kinder kreuzen
🚫	1F6AB	Verboten
🚳 	1F6B3	Keine Fahrräder
🚭 	1F6AD	Rauchen verboten
🚯 	1F6AF	Müllabladen verboten
🚱 	1F6B1	Nicht trinkbares Wasser
🚷	1F6B7	Keine Fußgänger
📵 	1F4F5	Keine Mobiltelefone
🔞 	1F51E	Niemand unter achtzehn
